_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6455425c8723e138c4ea70df,true,58.71,94.52,63.6,66.52,132;2;1;0,words,25,-1,1,26.98,0,0.14,false,false,english,none,normal,false,false,false,,1683309148000
645520e98723e138c4aab4e5,,40.66,83.11,52.6,55.08,109;13;1;0,words,25,-1,0,32.17,0,0,false,false,english,none,normal,false,false,false,,1683300585000
645520c68723e138c4aab288,true,54.11,92.97,54.11,59.59,118;0;0;0,words,25,-1,3,26.17,0,70.3,false,false,english,none,normal,false,false,false,,1683300550000
64551fd88723e138c4aaa45d,,44.79,93.65,46.78,58.15,112;1;0;0,time,30,-1,1,30.01,0,0.83,false,false,english,none,normal,false,false,false,,1683300312000
64551fb08723e138c4aaa1cf,,49.18,95.42,49.18,69.01,123;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683300272000
64551f8e8723e138c4aa9fd4,,51.6,89.58,51.6,61.08,129;0;0;0,time,30,-1,2,30,0,2.92,false,false,english,none,normal,false,false,false,,1683300238000
64551f508723e138c4aa9c24,,60.78,94.51,62.38,72.17,152;1;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683300176000
64551f1a8723e138c4aa98ee,,43.42,90.74,43.42,53.04,147;0;0;0,custom,custom,-1,0,40.62,0,0,false,false,english,none,normal,false,false,false,,1683300122000
64551ee28723e138c4aa95d1,,52.38,93.24,57.98,79.11,131;4;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683300066000
64551ec28723e138c4aa9406,,50.8,90.73,59.2,73.11,127;6;1;3,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683300034000
645469888723e138c4629015,,51.2,94.37,55.2,62.64,128;2;0;2,time,30,-1,1,30,0,2.33,false,false,english,none,normal,false,false,false,,1683253640000
